Route,Name,Grade,FA,Country,Area,Date,Suggested Grade,Link,
E la Nave va,Josune Bereziartu (f),13,,Switzerland,Interlaken,05/10/2003,13,,
Crown of Aragorn,Ashima Shiraishi,13,,United States,Hueco Tanks,3/1/2012,13,,
Nuthin but sunshine,Shauna Coxsey,13,,United States,RMNP,09/11/2013,13,,
Top Notch,Alex Puccio,13,,United States,RMNP,07/02/2014,13,,
One summer in paradise,Shauna Coxsey,13,,Switzerland,Magic Wood,07/04/2014,13,,
Nuthin but sunshine,Alex Puccio,13,,United States,RMNP,07/07/2014,13,,
Betta Move,Ashima Shiraishi,13,,South Africa,Rocklands,07/15/2014,13,,
"Automator, The",Alex Puccio,13,,United States,RMNP,08/18/2014,13,,
Freaks of the Industry,Alex Puccio,13,,United States,RMNP,09/07/2014,13,,
Nuthin but sunshine,Katharina Saurwein (f),13,,United States,RMNP,10/02/2014,13,,
Black lung,Alex Puccio,13,,United States,Joe's Valley,11/25/2014,13,,
Epochalypse,Isabelle Faus,13,,United States,Flagstaff,12/24/2014,13,,
Blood Meridian,Ashima Shiraishi,13,,United States,Bishop,12/27/2014,13,,
"Swarm, The",Ashima Shiraishi,13,,United States,Bishop,01/01/2015,13,,
"Swarm, The",Alex Puccio,13,,United States,Bishop,02/24/2015,13,,
DIRECTION,Alex Puccio,13,,United States,Bishop,03/04/2015,13,,
Nuthin but Sunshine,Isabelle Faus,13,,United States,RMNP,06/23/2015,13,,
Ray of Light,Nina Williams,13,,South Africa,Rocklands,07/14/2015,13,,
Charity Bouldern,Karoline Sinnhuber,13,,Austria,Innsbruck,07/15/2015,13,,
Charity Bouldern,Jule Wurm,13,,Austria,Innsbruck,07/25/2015,13,,
Riverbed,Megan Mascarenas,13,,Switzerland,Magic Wood,08/18/2015,13,,
Fragile Steps,Katharina Saurwein (f),13,,South Africa,Rocklands,08/20/2015,13,,
"Shining, The",Isabelle Faus,13,,United States,RMNP,09/16/2015,13,,
"Shining, The",Katharina Saurwein (f),13,,United States,RMNP,09/20/2015,13,,
Irreversible,Alex Puccio,13,,United States,RMNP,09/26/2015,13,,
Don't Get To Greedy,Alex Puccio,13,,United States,RMNP,10/14/2015,13,,
Free Range,Alex Puccio,13,,South Africa,Rocklands,10/21/2015,13,,
Nuclear War,Ashima Shiraishi,13,,United States,Master Bedroom,10/27/2015,13,,
Dark Waters,Alex Puccio,13,,United States,Clear Creek Canyon,11/10/2015,13,,
Roses and Blue Jays,Ashima Shiraishi,13,,United States,Great Barrington,11/25/2015,13,,
Terre de Sienne,Ashima Shiraishi,13,,United States,Hueco Tanks,11/25/2015,13,,
Crown of Aragorn,Alex Puccio,13,,United States,Hueco Tanks,02/18/2016,13,,
Slashface,Alex Puccio,13,,United States,Hueco Tanks,02/20/2016,13,,
Nagual,Alex Puccio,13,,United States,Hueco Tanks,02/21/2016,13,,
Dark Daughter,Isabelle Faus,13,FA,United States,RMNP,05/08/2016,13,,
"Automator, The",Isabelle Faus,13,,United States,RMNP,06/10/2016,13,,
Evil Backwards,Isabelle Faus,13,,United States,Boulder/CO,06/14/2016,13,,
Don't Get To Greedy,Isabelle Faus,13,,United States,RMNP,06/29/2016,13,,
Fragile Steps,Karoline Sinnhuber,13,,South Africa,Rocklands,07/04/2016,13,,
"Master Key, The",Isabelle Faus,13,,South Africa,Rocklands,07/09/2016,13,,
Skiroute Project,Karoline Sinnhuber,13,,Austria,Innsbruck,07/20/2016,13,,
Mars Block 3,Megan Mascarenas,13,,United States,Pikes Peak,07/21/2016,13,,
Te Cuelgas Guey,Megan Mascarenas,13,,United States,Elevenmile Canyon,08/01/2016,13,,
"Escapist, The",Isabelle Faus,13,,South Africa,Rocklands,08/18/2016,13,,
Burned at the Stake,Megan Mascarenas,13,FA,United States,Boulder/CO,11/01/2016,12,,
Heart shaped box sit,Karoline Sinnhuber,13,,Austria,Weststeiermark,12/04/2016,13,,
Terre de Sienne,Alex Puccio,13,,United States,Hueco Tanks,12/20/2016,13,,
Fragile Steps,Oriane Bertone,13,,South Africa,Rocklands,01/02/2017,13,,
Free Range,Isabelle Faus,13,,South Africa,Rocklands,01/19/2017,13,,
Miroir de vanité,Caroline Sinno,13,,France,Fontainebleau,02/18/2017,13,,
Luther,Alex Puccio,13,,United States,Hueco Tanks,02/21/2017,13,,
"Tea Cup, The",Alex Puccio,13,,United States,Leavenworth,04/15/2017,13,,
"Pursuit of Happiness, The",Mina Leslie-Wujastyk (f),13,,South Africa,Redhill,05/31/2017,13,,
Dead Meadow,Alex Puccio,13,,United States,Wild Basin,06/01/2017,13,,
Bear Toss,Alex Puccio,13,,United States,RMNP,06/16/2017,13,,
Evil Backwards,Alex Puccio,13,,United States,Boulder/CO,06/29/2017,13,,
Fragile Steps,Liting Xu,13,,South Africa,Rocklands,07/11/2017,13,,
"Shining, The",Alex Puccio,13,,United States,RMNP,07/17/2017,13,,
Charity Bouldern,Alma Bestvater,13,,Austria,Innsbruck,08/31/2017,13,,
Riverbed,Alex Puccio,13,,Switzerland,Magic Wood,09/20/2017,13,,
One summer in paradise,Alex Puccio,13,,Switzerland,Magic Wood,09/23/2017,13,,
Wovenhand,Alex Puccio,13,,Switzerland,Magic Wood,09/24/2017,13,,
psychopad rallongé,Oriane Bertone,13,,Reunion,Ravine des colimaçons,11/20/2017,13,,
Crown of Aragorn,User Deactivated,13,,United States,Hueco Tanks,12/20/2017,13,,
Wonderlust,Isabelle Faus,13,,United States,St. Vrain,03/13/2018,13,,
Green in the face,Alex Puccio,13,,United States,Castle Rocks,04/21/2018,13,,
