Route,Name,Grade,FA,Country,Area,Date
Der mit dem Fels tanzt,James Webb,15,,Switzerland,Ticino,04/03/2019
Der mit dem Fels tanzt,Luis Gert,15,,Switzerland,Ticino,12/18/2021
Der mit dem Fels tanzt,Martin Stranik,15,,Switzerland,Ticino,02/23/2018
Der mit dem Fels tanzt,Michiel Nieuwenhuijsen,15,,Switzerland,Ticino,10/16/2021
Dernier Fléau,Shawn Diamond,15,,France,Fontainebleau,05/23/2007
Desperanza,Chris Webb Parsons,15,,United States,Hueco Tanks,02/01/2012
Desperanza,Matt Fultz,15,,United States,Hueco Tanks,02/13/2020
Deutschland Meutschland,Niki Rusev,15,,Bulgaria,RiMonastery,11/13/2021
Dicktopia,Daniel Woods,15,FA,United States,Camp Dick,01/09/2020
Dicktopia,Drew Ruana,15,,United States,Camp Dick,10/01/2020
Dicktopia,James Webb,15,,United States,Camp Dick,10/05/2020
Dicktopia,Paul Robinson,15,,United States,Camp Dick,12/12/2021
Direct Hit,Daniel Woods,15,FA,Brazil,Ubatuba,7/10/2019
Direct Hit,Felipe Camargo,15,,Brazil,Ubatuba,08/26/2020
Double Back-Flip,Martin Stranik,15,,Germany,Bahratal,10/25/2021
Double Back-Flip,M Scholz,15,FA,Germany,Bahratal,01/01/2012
"Dragon's Guardian, The",Paul Robinson,15,FA,South Africa,,07/01/2016
Dreamtime,Alex Khazanov,15,,Switzerland,Ticino,10/11/2021
Dreamtime,Austin Purdy,15,,Switzerland,Ticino,01/16/2022
Dreamtime,Bernd Zangerl,15,,Switzerland,Ticino,04/01/2001
Dreamtime,Carlo Traversi,15,,Switzerland,Ticino,03/13/2020
Dreamtime,Christian Core,15,,Switzerland,Ticino,02/14/2003
Dreamtime,Christoph Cepus,15,,Switzerland,Ticino,4/1/2004
Dreamtime,David Firnenburg,15,,Switzerland,Ticino,12/23/2018
Dreamtime,elias iagnemma,15,,Switzerland,Ticino,01/20/2021
Dreamtime,Fabian Buhl,15,,Switzerland,Ticino,03/13/2013
Dreamtime,Frederic Nicole,15,FA,Switzerland,Ticino,10/28/2000
Dreamtime,Giuliano Cameroni,15,,Switzerland,Ticino,01/06/2015
Dreamtime,James Litz,15,,Switzerland,Ticino,03/03/2004
Dreamtime,James Webb,15,,Switzerland,Ticino,02/13/2018
Dreamtime,Jan hojer,15,,Switzerland,Ticino,2/18/2013
Dreamtime,Jernej Kruder,15,,Switzerland,Ticino,11/09/2019
Dreamtime,Kim Marschner,15,,Switzerland,Ticino,11/29/2020
Dreamtime,Marco Müller,15,,Switzerland,Ticino,1/3/2022
Dreamtime,Matt Fultz,15,,Switzerland,Ticino,03/03/2020
Dreamtime,Michiel Nieuwenhuijsen,15,,Switzerland,Ticino,10/24/2021
Dreamtime,Paul Robinson,15,,Switzerland,Ticino,11/25/2010
Dreamtime,Ryuichi Murai,15,,Switzerland,Ticino,12/07/2019
Dreamtime,Stefano Carnati,15,,Switzerland,Ticino,12/04/2019
Dreamtime,Thomas Willenberg,15,,Switzerland,Ticino,04/09/2003
Dreamtime,Vadim Timonov,15,,Switzerland,Ticino,12/14/2019
Dreamtime,Yannick Flohé,15,,Switzerland,Ticino,12/15/2020
Dreamtime,Thilo Jeldrik Schroeter,15,,Switzerland,Ticino,03/01/2021
Drift,Adam Ondra,15,FA,Czech Republic,Holstejn,10/08/2017
Drift,Martin Stranik,15,,Czech Republic,Moravský kras,04/28/2019
Drop a line,Pirmin Bertle,16,FA,Switzerland,Cousimbert,4/22/2015
Dust Devil,Bern Schwaiger,15,FA,Austria,Innsbruck,4/15/2009
Dust Devil,Christof Rauch,15,,Austria,Saalachtal,
Ea Yerself Whle,Si O'Conor,15,,Unknown,Coire Lagan,06/02/2005
Ebony and Ivory,John Cohee,15,FA,United States,Logan Canyon,05/22/2021
Echalo,Matt Fultz,15,,United States,Clear Creek Canyon,10/04/2020
El Diablo,Daniel Woods,15,FA,Mexico,Penoles,01/19/2014
El Indomable,Alberto Rocasolano,15.5,,Spain,Tamajon,
El Indomable,Nacho Sanchez,15.5,,Spain,Tamajon,
El Techo de Los Tres B,Ely Wilde,15,,United States,Hueco Tanks,04/09/2005
Emotional Landscapes,Florian Schmalzl,15,,Austria,Maltatal,
Emotional Landscapes,Klem Loskot,15,FA,Austria,Maltatal,
Emotional Landscapes,Martin Moser,15,,Austria,Maltatal,
Emotional Landscapes,Nalle Hukkataival,15,,Austria,Maltatal,
END,Urh Cehovin,15,FA,Slovenia,Zalog,11/28/2007
