Route,Name,Grade,FA,Country,Area,Date
Stil vor Talent,Stephan Vogt,15,,Switzerland,Magic Wood,06/15/2021
Story Of 2 Worlds,Dai Koyamada,15,,Switzerland,Ticino,
Story Of 2 Worlds,Jakob Schubert,15,,Switzerland,Ticino,01/01/2020
Story Of 2 Worlds,Sebastian Cotting,15,,Switzerland,Ticino,
Story Of 2 Worlds,Toru Nakajima,15,,Switzerland,Ticino,
Story Of 2 Worlds,Alex Khazanov,15,,Switzerland,Ticino,01/03/2018
Story Of 2 Worlds,Austin Purdy,15,,Switzerland,Ticino,01/01/2020
Story Of 2 Worlds,Carlo Traversi,15,,Switzerland,Ticino,03/25/2013
Story Of 2 Worlds,Dave Graham,15,FA,Switzerland,Ticino,01/09/2005
Story Of 2 Worlds,GabrieMoroni,15,,Switzerland,Ticino,02/18/2014
Story Of 2 Worlds,Giani Clement,15,,Switzerland,Ticino,04/02/2019
Story Of 2 Worlds,Giuliano Cameroni,15,,Switzerland,Ticino,2/9/2014
Story Of 2 Worlds,James Webb,15,,Switzerland,Ticino,03/25/2014
Story Of 2 Worlds,Jan hojer,15,,Switzerland,Ticino,4/11/2014
Story Of 2 Worlds,Jernej Kruder,15,,Switzerland,Ticino,01/04/2013
Story Of 2 Worlds,Leon Fraunholz,15,,Switzerland,Ticino,04/02/2019
Story Of 2 Worlds,Luis Gert,15,,Switzerland,Ticino,03/24/2019
Story Of 2 Worlds,Marco Müller,15,,Switzerland,Ticino,01/12/2022
Story Of 2 Worlds,Martin Stranik,15,,Switzerland,Ticino,11/17/2015
Story Of 2 Worlds,Michiel Nieuwenhuijsen,15,,Switzerland,Ticino,1/7/2020
Story Of 2 Worlds,Paul Robinson,15,,Switzerland,Ticino,3/8/2011
Story Of 2 Worlds,Paweł Jelonek,15,,Switzerland,Ticino,1/28/2018
Story Of 2 Worlds,Samuel Ometz,15,,Switzerland,Ticino,12/27/2014
Story Of 2 Worlds,Stefano Carnati,15,,Switzerland,Ticino,12/15/2019
Story Of 2 Worlds,Vadim Timonov,15,,Switzerland,Ticino,12/25/2019
Story Of 2 Worlds,Ryuichi Murai,15,,Switzerland,Ticino,11/30/2019
Story Of 2 Worlds low start,Christof Rauch,15,,Switzerland,Ticino,01/28/2018
Styrian Delirium,Christof Rauch,15,FA,Austria,Weststeiermark,05/21/2017
Super Blood Wolf Moon,Jorge diaz-rullo,15,,Spain,Cova de l'Ocell,06/06/2020
Super Blood Wolf Moon,Pol Roca Lopez,15,,Spain,Cova de l'Ocell,06/04/2019
Tekuté Štěstí,Adam Ondra,15,,Czech Republic,Moravský kras,06/24/2018
Tekuté Štěstí,Martin Stranik,15,FA,Czech Republic,Moravský kras,6/22/2018
Terminator,Masoud Ghasemi,15,FA,Iran,keshar e sofla,10/31/2018
Terminator,Ali Baratzabeh,15,,Iran,keshar e sofla,
Terranova,Adam Ondra,16,FA,Czech Republic,Holstejn,11/10/2011
Terre de Sienne,Frederic Nicole,15,FA,United States,Hueco Tanks,12/01/2004
Terremer,Daniel Woods,15,,United States,Hueco Tanks,1/30/2010
Terremer,Frederic Nicole,15,FA,United States,Hueco Tanks,01/01/2006
Terremer,Paul Robinson,15,,United States,Hueco Tanks,1/1/2008
Terremer,Simon Parton,15,,United States,Hueco Tanks,12/16/2015
Terremer,Dan Beall,15,,United States,Hueco Tanks,
Tonino 78,Antoine Vandeputte,15.5,,Italy,Meschia,05/07/2005
Tonino 78,Julien Nadiras,15.5,,Italy,Meschia,
Tonino 78,Mauro Calibani,15.5,FA,Italy,Meschia,01/24/2004
Topaz,Daniel Woods,15,,United States,RMNP,10/13/2016
Topaz,Giuliano Cameroni,15,,United States,RMNP,05/24/2019
Topaz,Matt Fultz,15,,United States,RMNP,11/15/2019
Topaz,Paul Robinson,15,,United States,RMNP,10/23/2016
Topaz,Dave Graham,15,FA,United States,RMNP,
Topaz,Griffin Whiteside,15,,United States,RMNP,
Topaz,Sam Weir,15,,United States,RMNP,
Total Blackout,Christof Rauch,15,FA,Austria,Innsbruck,04/25/2020
Toupie Carnivore assis,Guillaume Glairon-Mondet,15,FA,France,Fontainebleau,03/02/2014
Traffic,Paul Robinson,15,,United States,Scoop,06/11/2020
Traffic,Daniel Woods,15,,United States,Scoop,05/11/2020
Traffic,Matt Fultz,15,,United States,Scoop,07/15/2021
Trafic (en retour-aller),Jean-Pierre Bouvier,16,FA,France,Fontainebleau,07/01/2017
Transdendenz,Thomas Willenberg,15,FA,Germany,Sachsen,02/15/2003
trave de arroita,Dani Andrada,15,,Spain,Baltzola,06/09/2006
